ISIN,assetName,assetShortName,assetCategory,assetSubCategory,marketID,sector,industry,timestamp
GRF000011004,DHLOS PET OTE,DELPOIB,MTF,Balanced,AEDAK,,,2018-01-02
GRF000014008,DELOS FIXED INCOME PLUS - BOND FUND,DELDBDF,MTF,Structured,AEDAK,,,2018-01-02
GRF000022001,ΔΗΛΟΣ ΒΡΑΧΥΠΡΟΘΕΣΜΩΝ & ΜΕΣΟΠΡΟΘΕΣΜΩΝ ΕΠΕΝΔΥΣΕΩΝ-ΟΜ,DELPIMM,MTF,Money Market,AEDAK,,,2018-01-02
GRF000023009,DHLOS EISODHMATOS OMOLOGIAKO ESOTERIKOY,DELFXIB,MTF,Bond,AEDAK,,,2018-01-02
GRF000024007,DHLOS EUROBOND,DELEURB,MTF,Bond,AEDAK,,,2018-01-02
GRF000025004,DELUBFB Delos USD Bond Fund,DELUBFB,MTF,Bond,AEDAK,,,2018-01-02
GRF000029006,DELSBBF Delos Synthesis Best Blue - Bond Fund of F,DELSBBF,MTF,Bond,AEDAK,,,2018-01-02
GRF000030004,DELOS USD-INTERNATIONAL BD,DELIBMF,MTF,Bond,AEDAK,,,2018-01-02
GRF000031002,DHLOS MIKTO AMOIVAIO KEFALAIO,DELDMBL,MTF,Balanced,AEDAK,,,2018-01-02
GRF000032000,DHLOS STRATEGIC INVESTMENTS,DELSIBF,MTF,Balanced,AEDAK,,,2018-01-02
GRF000034006,DELOS UNION FUND-BALANCED FD,DELSYDB GA,MTF,Balanced,AEDAK,,,2018-01-02
GRF000036001,A/K  DHLOS SYNTHESIS BEST YELLOW FUNDS OF FUND ΜΙΚ,DELSBYF,MTF,Balanced,AEDAK,,,2018-01-02
GRF000037009,DHLOS BLUE CHIPS,DELBCDE,MTF,Equity,AEDAK,,,2018-01-02
GRF000038007,DHLOS SMALL CAP,DELSCDE,MTF,Equity,AEDAK,,,2018-01-02
GRF000045002,DHLOS SYNTHESIS BEST FUND OF FUNDS ΜΕΤΟΧΙΚΟ,DELSBRE,MTF,Money Market,AEDAK,,,2018-01-02
GRF000084001,N.P.INSURANCE ΝΕΟΣ ΠΟΣΕΙΔΩΝ ΜΙΚΤΟ,NPINSMIK,MTF,Balanced,AEDAK,,,2018-01-02
