customerID,customerType,riskLevel,investmentCapacity,lastQuestionnaireDate,timestamp
DED5BF19E23CCCFEE322,Premium,Balanced,CAP_80K_300K,2021-11-30,2021-03-19
DED5BF19E23CCCFEE322,Premium,Balanced,CAP_80K_300K,2021-11-30,2022-01-21
6C0C752E66D5F0486C71,Mass,Income,Predicted_CAP_LT30K,2015-04-27,2018-01-02
3E8D8E4E07CD3210F25F,Mass,Income,CAP_30K_80K,2021-11-03,2018-01-02
37F996EE2A69B5C15DF3,Mass,Predicted_Conservative,Predicted_CAP_LT30K,2000-01-01,2018-01-02
062D57DE7F5817E2F5C3,Premium,Income,CAP_80K_300K,2020-07-16,2021-07-16
F2D15B652031EDFBEB7F,Mass,Conservative,CAP_LT30K,2020-04-01,2018-01-02
C7E103D420671A6774E3,Mass,Income,CAP_LT30K,2019-07-03,2020-01-16
59F6B634BD517563AA58,Mass,Predicted_Conservative,Predicted_CAP_LT30K,2000-01-01,2018-01-02
BBFE3AD3E027327D6F09,Mass,Predicted_Balanced,Predicted_CAP_80K_300K,2000-01-01,2020-03-12
5B6EDBAD621B7E6333FD,Mass,Predicted_Conservative,Predicted_CAP_LT30K,2000-01-01,2018-01-02
1A40B57A7300A9761746,Mass,Predicted_Balanced,Predicted_CAP_80K_300K,2000-01-01,2018-01-02
D6D34B8851991164F4E1,Mass,Income,CAP_LT30K,2018-09-27,2020-03-16
A7B4D996481D603A57F6,Premium,Balanced,CAP_30K_80K,2022-11-17,2020-03-19
846F1FFF0425F2B752EE,Mass,Predicted_Conservative,Predicted_CAP_30K_80K,2000-01-01,2018-01-02
75A017290FEADB64C50C,Mass,Predicted_Conservative,Predicted_CAP_LT30K,2000-01-01,2018-01-02
E367CFC46B4115147440,Premium,Aggressive,CAP_30K_80K,2018-05-02,2021-08-31
E367CFC46B4115147440,Premium,Aggressive,CAP_30K_80K,2018-05-02,2020-02-28
577BA995A03A381996D9,Mass,Conservative,CAP_LT30K,2021-06-02,2018-01-02
5E7633BCD849D3264338,Premium,Balanced,CAP_30K_80K,2018-10-05,2022-06-08
5E7633BCD849D3264338,Premium,Balanced,CAP_30K_80K,2018-10-05,2022-03-09
5E7633BCD849D3264338,Premium,Balanced,CAP_30K_80K,2018-10-05,2021-06-02
5E7633BCD849D3264338,Premium,Balanced,CAP_30K_80K,2018-10-05,2018-01-02
F20CCB9FBF78D62F414C,Mass,Income,CAP_LT30K,2018-11-08,2020-03-06
6F911387C99322726320,Premium,Predicted_Conservative,Predicted_CAP_LT30K,2000-01-01,2022-10-17
