ISIN,minDate,maxDate,priceMinDate,priceMaxDate,profitability
100974271034,2018-01-02,2022-11-29,3.33,4.165,0.2507507507507507
BE0974271034,2018-01-02,2022-11-29,3.345,4.14,0.2376681614349774
BE0974293251,2018-01-02,2022-11-29,93.26,56.2,-0.3973836585888913
BE0974303357,2018-01-02,2022-11-29,1.262,3.265,1.58716323296355
CH0106027144,2020-07-14,2022-01-27,53.07,51.51,-0.0293951384963256
CH0198251305,2018-01-02,2022-11-29,27.13,23.24,-0.1433837080722447
CY0109232112,2020-09-29,2022-11-29,0.0811,0.0934,0.1516646115906287
CY0109561015,2021-08-12,2022-11-29,0.0412,0.0398,-0.0339805825242718
CY0109610614,2022-01-27,2022-11-29,0.28,0.37,0.3214285714285713
CY0200222111,2022-10-31,2022-11-29,0.0819,0.1219,0.4884004884004883
CY0200252118,2022-10-31,2022-11-29,0.1634,0.2562,0.5679314565483476
DE0001102325,2018-11-16,2022-11-29,110.875,100.04496,-0.0976779255918827
DE0001102457,2019-01-17,2022-11-29,100.563,91.363582,-0.0914791523721449
DE0001135275,2018-11-16,2019-08-27,154.8274,181.1671,0.1701229885666231
DE0001141703,2018-01-01,2018-12-27,101.653,100.7321,-0.0090592505877839
DE0002635307,2018-01-02,2022-11-29,38.0,43.385,0.1417105263157894
DE0005552004,2018-01-02,2022-11-29,39.539,37.85,-0.0427173170793393
DE0005557508,2018-01-02,2022-11-29,14.872,19.506,0.3115922538999462
DE0005933931,2018-01-02,2022-11-29,111.4,121.48,0.0904847396768401
DE0005933949,2018-01-02,2022-01-13,30.82,37.47,0.2157689811810512
DE0005933956,2018-01-02,2022-11-29,34.7,39.66,0.1429394812680113
DE0006047004,2018-01-02,2022-11-29,90.011,52.68,-0.4147381986646076
DE0006599905,2018-01-02,2022-11-29,89.803,171.95,0.9147467233834058
DE0007100000,2018-01-02,2022-11-29,70.603,62.61,-0.1132104868065095
DE0007164600,2018-01-02,2022-11-29,93.038,103.22,0.1094391538941078
DE0008404005,2018-01-02,2022-11-29,192.959,205.55,0.0652522038360481
DE000A0DEN75,2018-11-16,2022-11-29,79.7276,72.790774,-0.0870065824131166
DE000A0H0728,2018-01-02,2022-11-29,18.21,28.192,0.5481603514552443
DE000A0H08Q4,2018-10-09,2022-11-29,43.285,59.31,0.3702206307034771
DE000A0H08R2,2018-01-02,2022-10-04,24.77,18.728,-0.2439241017359708
DE000A0H08S0,2020-07-09,2020-07-27,15.558,14.902,-0.0421648026738655
DE000A0Q4R28,2018-01-02,2019-08-12,57.74,41.715,-0.2775372358850017
DE000A14ZT85,2019-06-12,2020-04-17,13.912,15.002,0.0783496262219666
DE000A194DD9,2018-12-20,2019-09-25,98.804,103.1254,0.0437370956641431
DE000A1EK0H1,2020-03-20,2020-10-01,37.526,55.64,0.4827053243084793
DE000A2TEDB8,2020-07-22,2020-12-17,96.592,101.278239,0.0485158087626304
DE000BASF111,2018-01-02,2022-11-29,91.488,49.24,-0.4617873382301504
DE000BAY0017,2018-01-02,2022-11-29,103.043,56.08,-0.4557611870772396
