exchangeID,marketID,name,description,country,tradingDays,tradingHours,marketClass
AEDAK,AEDAK,AEDAK Funds,Mutual funds offered by EFG Eurobank and Deutsche Bank,Greece,"Mon,Tue,Wed,Thu,Fri",08:15-15:20,Public Securities
XAMS,ALXA,Euronext - Growth Amsterdam,"The Euronext is a pan-European bourse providing trading services. This is the Euronext Growth market operating in Amsterdam, Netherlands. Euronext Growth is suited to small and mid sized companies (SMEs).  Investors can trade here stocks, bonds, stock options, index options and index futures.",Netherlands,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XBRU,ALXB,Euronext - Growth Brussels,"The Euronext is a pan-European bourse providing trading services. This is the Euronext Growth market operating in Brussels. Euronext Growth is suited to small and mid sized companies (SMEs). Investors can trade here stocks, bonds and index funds.",Belgium,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XPAR,ALXP,Euronext - Growth Paris,"The Euronext is a pan-European bourse providing trading services. This is the Euronext Growth market operating in Paris, France. Euronext Growth is suited to small and mid sized companies (SMEs).  Investors can trade here stocks, bonds, ETFs, options, futures, commodities, warrants and other securities",France,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XLUX,CCLX,Finesti S.A.,Finesti is a Luxembourg-based company for managing of data related to investment funds. It was founded in 1995 and it is part of the Luxembourg Stock Exchange.,Luxembourg,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
ATHEX,ENAX,Athens Stock Exchange Alternative Market,"The Athens Stock Exchange (ASE or ATHEX) is the stock exchange of Greece, based in the capital city of Athens. It was founded in 1876. This is a secondary market, addressed to SMEs and early-stage business development companies.",Greece,"Mon,Tue,Wed,Thu,Fri",08:15-15:20,Public Securities
XLIS,ENXL,Euronext Access Lisbon,"The Euronext is a pan-European bourse providing trading services. This is the Euronext Access market operating in Lisbon, Portugal. Euronext Growth is suited to start-ups and SMEs.  Investors can trade here stocks, bonds, ETFs and warrants.",Portugal,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
HDAT,HDAT,Electronic Secondary Securities Market,"The Electronic Secondary Securities Market (HDAT) is  a secondary market operated by the Bank of Greece. It was founded in 1999. Investors can trade Greek governement securities, bonds, fixed-income debt securities.",Greece,"Mon,Tue,Wed,Thu,Fri",08:15-15:20,Public Securities
MTAA,MTAA,Borsa Italiana,"Borsa Italiana is the Italian Stock Exchange, based in Milan. It is expected to be rebranded as Euronext Milan. It was founded in 1808. Investors can trade stocks, ETPs, funds, derivatives and bonds.",Italy,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
OOTC,OOTC,Other OTC,"Securities in this market are sold by their owner. These are stocks, bonds and other financial securities which are traded directly between two parties, instead of on a public stock market.",-,"Mon,Tue,Wed,Thu,Fri",,Public Securities
XMTS,PORT,MTS Portugal,MTS Portugal was a regulated market for trading of Portuguese government securities. MTS is no longer trading since the end of 2019.,Portugal,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XAMS,XAMS,Euronext - Euronext Amsterdam,"The Euronext is a pan-European bourse providing trading services. This is the Euronext market operating in Amsterdam, Netherlands. Investors can trade here stocks, bonds, stock options, index options and index futures.",Netherlands,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XDUB,XASM,Irish Stock Exchange Global Exchange Market,"The Irish Stock Exchange (also known as Euronext Dublin) is Ireland's main stock exchange, based in Dublin. It was founded in 1793. Investors can trade stocks, bonds, Irish government onds, funds and ETFs.",Ireland,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XASX,XASX,Australia Securities Exchange All Markets,"The Australian Securities Exchange is the primary securities exchange in Australia. Investors can trade equities, fixed income, commodities and energy.",Australia,"Mon,Tue,Wed,Thu,Fri",00:00-06:00,Public Securities
ATHEX,XATH,Athens Exchange S.A. Cash Market,"The Athens Stock Exchange (ASE or ATHEX) is the stock exchange of Greece, based in the capital city of Athens. It was founded in 1876. This is the main trading market, known as the regulated securities market. Here investors can trade in stocks, bonds, ETFs and other related securities.",Greece,"Mon,Tue,Wed,Thu,Fri",08:15-15:20,Public Securities
BMEX,XBAR,Borsa de Barcelona,"Borsa de Barcelona is a Spanish stock exchange, based in Barcelona. It was founded in 1915. It is exclusively dedicated to the trade of shares and convertible values. ",Spain,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XBER,XBER,Boerse Berlin,"The Boerse Berlin (or Berlin Stock Exchange) is a stock exchange based in Berlin, Germany. It was founded in 1685. Investors can trade stocks and bonds.",Germany,"Mon,Tue,Wed,Thu,Fri",07:00-21:00,Public Securities
XCIE,XCIE,The International Stock Exchange,"The Internationa Stock Exchange (TISE) is a stock exchange based in St. Peter Port, Guernsey. It was founded in 2013. Investors can trade equities and bonds",United Kingdom,"Mon,Tue,Wed,Thu,Fri",09:00-16:30,Public Securities
